Sales ID,Product Name,Quantity,Price
1001,Laptop Pro X,1,1200.00
1001,Ergonomic Mouse,1,25.50
1001,Wireless Keyboard,1,75.00
1002,4K Monitor 27in,2,350.99
1002,USB-C Hub,3,15.99
1003,Noise Cancelling Headphones,1,199.99
1003,Portable SSD 1TB,1,89.50
1003,Webcam HD,1,45.00
1004,Gaming Chair Deluxe,1,299.00
1004,Smart Watch S2,1,150.00
1005,Wireless Router AX,1,99.99
1005,Smartphone Z1,1,650.00
1005,Tablet Mini 8,2,129.99
1006,Printer All-in-One,1,145.50
1006,Speaker Bluetooth,4,35.00
1007,Power Bank 20000mAh,2,49.99
1007,VR Headset Basic,1,175.00
1008,Laptop Backpack,1,30.00
1008,External Hard Drive 4TB,1,110.00
1008,Smart Light Bulb,6,12.50
1009,Mesh Wi-Fi System,1,199.00
1009,Action Camera 4K,1,250.00
1010,Gaming Mouse Pad,2,19.99
1010,Smart Thermostat,1,119.00
1011,Drone Beginner,1,95.00
1011,Cable HDMI 6ft,4,7.50
1012,Stylus Pen Pro,2,29.99
1013,Laptop Pro X,1,1200.00
1013,Ergonomic Mouse,3,25.50
1013,Webcam HD,2,45.00
1014,4K Monitor 27in,1,350.99
1014,Noise Cancelling Headphones,1,199.99
1015,Portable SSD 1TB,2,89.50
1015,USB-C Hub,5,15.99
1015,Gaming Chair Deluxe,1,299.00
1016,Smart Watch S2,2,150.00
1016,Wireless Router AX,1,99.99
1017,Smartphone Z1,1,650.00
1017,Tablet Mini 8,1,129.99
1017,Printer All-in-One,1,145.50
1018,Speaker Bluetooth,5,35.00
1018,Power Bank 20000mAh,1,49.99
1019,VR Headset Basic,2,175.00
1019,Laptop Backpack,1,30.00
1020,External Hard Drive 4TB,1,110.00
1020,Smart Light Bulb,8,12.50
1020,Mesh Wi-Fi System,1,199.00
1020,Action Camera 4K,1,250.00
1020,Gaming Mouse Pad,3,19.99